ທະວີບອາຟະລິກ	Африка
ປະເທດຍີ່ປຸ່ນ	Япония
ທະວີບອາເມລິກາໃຕ້	Южная Америка
ປະເທດນອກແວດ	Норвегия
ປະເທດອັງກິດ	Англия
ປະເທດເອກົດ	Шотландия
ປະເທດການ	Уэльс
ປະເທດອຽກລັງ	Ирландия
ປະເທດຮົງກະລີ	Венгрия
ປະເທດແອສະປາຍ	Испания
ສະຫະລັດອາເມລິກາ	Соединённые Штаты Америки
ປະເທດແບນຊິກ	Бельгия
ປະເທດລູກຊຳບວກ	Люксембург
ໂລກ	Земля
ປະເທດແຟງລັງ	Финляндия
ປະເທດຊູແອດ	Швеция
ປະເທດດານມາກ	Дания
ປະເທດໂປໂລຍ	Польша
ປະເທດລີຕົວນີ	Литва
ປະເທດອິຕາລີ	Италия
ປະເທດສະວິດ	Швейцария
ປະເທດໂອຕະລິດ	Австрия
ປະເທດກະແລັດ	Греция
ປະເທດຕວກກີ	Турция
ເບຍ	Пиво
ປະເທດປອກຕຸຍການ	Португалия
ທະວີບເອີລົບ	Европа
ອາຊີ	Азия
ທະວີບອາເມລິກາເໜືອ	Северная Америка
ທະວີບອັງຕາກຕິກ	Антарктида
ວິກິພີເດຍ	Википедия
ປະເທດໂຮນລັງ	Нидерланды
ຄອມພິວເຕີ	Компьютер
ອິນເຕີເນັດ	Интернет
ບາຣັກ ໂອບາມາ	Обама, Барак
ປະເທດອູຣູກວາຍ	Уругвай
ຈັກພິມ	Принтер
ລອນດອນ	Лондон
ປາລີ	Париж
ແອນດຣອຍດ໌	Android
ກູໂກລ	Google (компания)
ປະເທດເມັກຊິກ	Мексика
ມະຫາສະໝຸດອັດລັງຕິກ	Атлантический океан
ມະຫາສະໝຸດປາຊີຟິກ	Тихий океан
ວັນຈັນ	Понедельник
ເດືອນມັງກອນ	Январь
ກຸມພາ	Февраль
ມີນາ	Март
ເມສາ	Апрель
ພຶດສະພາ	Май
ມິຖຸນາ	Июнь
ກໍລະກົດ	Июль
ສິງຫາ	Август
ກັນຍາ	Сентябрь
ຕຸລາ	Октябрь
ພະຈິກ	Ноябрь
ທັນວາ	Декабрь
ວັນອັງຄານ	Вторник
ວັນພຸດ	Среда
ວັນພະຫັດ	Четверг
ວັນສຸກ	Пятница
ວັນເສົາ	Суббота
ວັນອາທິດ	Воскресенье
ປະເທດຝະລັ່ງ	Франция
ໝາ	Собака
ສະຫະລາຊະອານາຈັກ	Великобритания
ແມວ	Кошка
ປະເທດຈີນ	Китайская Народная Республика
ພາສາຝະລັ່ງ	Французский язык
ປະເທດບະເຣຊິນ	Бразилия
ປະເທດລັດເຊຍ	Россия
ຮູບຈັດຕຸລັດ	Квадрат
ທະເລ	Море
ແຂວງເກແບັກ	Квебек
ປະເທດເຢຍລະມັນ	Германия
ປະເທດບີເອໂລລຸດ	Белоруссия
ປະເທດອີສະລັງ	Исландия
ປະເທດແອສະໂຕນີ	Эстония
ຍົນ	Самолёт
ຮູບສີ່ແຈສາກ	Прямоугольник
ມຸມສາກ	Прямой угол
ປະເທດແລດໂຕນີ	Латвия
ປະເທດອູກະແລນ	Украина
ສາທາລະນະລັດແຊັກ	Чехия
ປະເທດສະໂລວາກີ	Словакия
ປະເທດສະໂລເວນີ	Словения
ປະເທດລູມານີ	Румыния
ປະເທດບູນກາລີ	Болгария
ປະເທດມາເຊດວນ	Республика Македония
ປະເທດກະໂລອາຊີ	Хорватия
ປະເທດບົດສະນີແຮກເຊໂກວີນ	Босния и Герцеговина
ປະເທດອາແຊກບາຍຊັງ	Азербайджан
ປະເທດອັງດອກ	Андорра
ປະເທດຊີບ	Республика Кипр
ປະເທດເຊອັອກຊີ	Грузия
ປະເທດມານ	Мальта
ປະເທດໂມນາໂກ	Монако
ປະເທດແຊັງມາແລງ	Сан-Марино
ຫໍແອບແຟນ	Эйфелева башня
ຄີບອດ	Компьютерная клавиатура
ປະເທດອິນໂດເນເຊຍ	Индонезия
ໂທລະພາບ	Телевидение
ປະເທດຈີເລ	Чили
ພຣະເຢຊູ	Иисус Христос
ປະຫວັດສາດ	История
ພາສາ	Язык
ລະບອບຜະເດັດການ	Диктатура
ບິກແບງ	Большой взрыв
ດາຣາສາດ	Астрономия
ປະເທດສິງກະໂປ	Сингапур
ວິທະຍາສາດ	Наука
ມົງເລອານ	Монреаль
ປະເທດລິກເຕນສະຕາຍ	Лихтенштейн
ກິລາ	Спорт
ອາໂດນ ຮິດແລ	Гитлер, Адольф
ເຟດບຸກ	Facebook
ສົງຄາມໂລກຄັ້ງທີສອງ	Вторая мировая война
ໂມງ	Часы
ອຸບຸນຕູ	Ubuntu
ລິນຸກຊ໌	Linux
ຄະນິດສາດ	Математика
ພາສາລາແຕັງ	Латинский язык
ປະເທດອາກເມນີ	Армения
ປະເທດແຊກບີ	Сербия
ດວງຈັນ	Луна
ປະເທດອົດສະຕະຣາລີ	Австралия
ວັດຖຸວິທະຍາ	Физика
ປະເທດອາກຊັງຕິນ	Аргентина
ໂທລະຄົມມະນາຄົມ	Электросвязь
ປະເທດເປຣູ	Перу
ຊີວະສາດ	Биология
